10.52.0.13 - deppi [26/Sep/2017:07:54:25 -0300] "GET /dashbuilder/images/general/16x16/ico-info.png HTTP/1.1" 200 3230
10.52.0.13 - deppi [26/Sep/2017:07:54:25 -0300] "GET /dashbuilder/components/colorpicker/images/h.png HTTP/1.1" 304 -
10.52.0.13 - deppi [26/Sep/2017:07:54:25 -0300] "GET /dashbuilder/components/colorpicker/images/position.png HTTP/1.1" 304 -
10.52.0.13 - deppi [26/Sep/2017:07:54:25 -0300] "GET /dashbuilder/components/colorpicker/images/sv.png HTTP/1.1" 304 -
10.52.0.13 - deppi [26/Sep/2017:07:54:25 -0300] "GET /dashbuilder/components/colorpicker/images/crosshairs.png HTTP/1.1" 304 -
10.52.0.13 - deppi [26/Sep/2017:07:54:25 -0300] "GET /dashbuilder/components/colorpicker/images/close.gif HTTP/1.1" 304 -
10.52.0.13 - deppi [26/Sep/2017:07:54:25 -0300] "GET /dashbuilder/favicon.ico HTTP/1.1" 304 -
10.52.0.13 - deppi [26/Sep/2017:07:54:25 -0300] "GET /dashbuilder/images/adminHeader/new-workspace.png HTTP/1.1" 304 -
10.52.0.13 - deppi [26/Sep/2017:07:54:25 -0300] "GET /dashbuilder/images/adminHeader/edit.png HTTP/1.1" 304 -
10.52.0.13 - deppi [26/Sep/2017:07:54:25 -0300] "GET /dashbuilder/images/adminHeader/duplicate-workspace.png HTTP/1.1" 304 -
10.52.0.13 - deppi [26/Sep/2017:07:54:25 -0300] "GET /dashbuilder/images/adminHeader/new-section.png HTTP/1.1" 304 -
10.52.0.13 - deppi [26/Sep/2017:07:54:25 -0300] "GET /dashbuilder/images/adminHeader/remove.png HTTP/1.1" 304 -
10.52.0.13 - deppi [26/Sep/2017:07:54:25 -0300] "GET /dashbuilder/images/adminHeader/duplicate-section.png HTTP/1.1" 304 -
10.52.0.13 - deppi [26/Sep/2017:07:54:25 -0300] "GET /dashbuilder/images/adminHeader/new-panel.png HTTP/1.1" 304 -
10.52.0.13 - deppi [26/Sep/2017:07:54:25 -0300] "GET /dashbuilder/workspace/pt/central/images/Barra_Filtros.png HTTP/1.1" 302 -
10.52.0.13 - deppi [26/Sep/2017:07:54:25 -0300] "GET /dashbuilder/workspace/pt/central/images/Barra_Menu.png HTTP/1.1" 302 -
10.52.0.13 - deppi [26/Sep/2017:07:54:25 -0300] "GET /dashbuilder/templates/css/images/bg_select.png HTTP/1.1" 304 -
10.52.0.13 - deppi [26/Sep/2017:07:54:25 -0300] "GET /dashbuilder/images/adminHeader/processes.png HTTP/1.1" 304 -
10.52.0.13 - deppi [26/Sep/2017:07:54:25 -0300] "GET /dashbuilder/images/adminHeader/login-logout.png HTTP/1.1" 304 -
10.52.0.13 - deppi [26/Sep/2017:07:54:25 -0300] "GET /dashbuilder/workspace/pt/central/images/deppi.png HTTP/1.1" 302 -
10.52.0.13 - deppi [26/Sep/2017:07:54:25 -0300] "GET /dashbuilder/workspace/pt/central/images/logo_if.png HTTP/1.1" 302 -
10.52.0.13 - deppi [26/Sep/2017:07:54:25 -0300] "GET /dashbuilder/images/adminHeader/admin_up.png HTTP/1.1" 304 -
10.52.0.13 - deppi [26/Sep/2017:07:54:25 -0300] "GET /dashbuilder/images/general/movePanel.gif HTTP/1.1" 304 -
10.52.0.13 - deppi [26/Sep/2017:07:54:25 -0300] "GET /dashbuilder/images/general/PopMenu.gif HTTP/1.1" 304 -
10.52.0.13 - deppi [26/Sep/2017:07:54:25 -0300] "GET /dashbuilder/images/panelProperties/EditMod.png HTTP/1.1" 304 -
10.52.0.13 - deppi [26/Sep/2017:07:54:25 -0300] "GET /dashbuilder/images/panelProperties/PropertiesMod.png HTTP/1.1" 304 -
10.52.0.13 - deppi [26/Sep/2017:07:54:25 -0300] "GET /dashbuilder/images/panelProperties/Erase.png HTTP/1.1" 304 -
10.52.0.13 - deppi [26/Sep/2017:07:54:25 -0300] "GET /dashbuilder/images/panelProperties/HelpMod.png HTTP/1.1" 304 -
10.52.0.13 - deppi [26/Sep/2017:07:54:25 -0300] "GET /dashbuilder/images/panelProperties/CloseMenu.png HTTP/1.1" 304 -
10.52.0.13 - deppi [26/Sep/2017:07:54:25 -0300] "GET /dashbuilder/images/general/resize.gif HTTP/1.1" 304 -
10.52.0.13 - deppi [26/Sep/2017:07:54:25 -0300] "GET /dashbuilder/images/general/loading.gif HTTP/1.1" 304 -
10.52.0.13 - deppi [26/Sep/2017:07:54:25 -0300] "GET /dashbuilder/envelopes/IFCE_Envelope/images/Bg_Top-left.jpg HTTP/1.1" 304 -
10.52.0.13 - deppi [26/Sep/2017:07:54:25 -0300] "GET /dashbuilder/envelopes/IFCE_Envelope/images/General_Logo.png HTTP/1.1" 304 -
10.52.0.13 - deppi [26/Sep/2017:07:54:25 -0300] "GET /dashbuilder/envelopes/IFCE_Envelope/images/Bg_Top-right.jpg HTTP/1.1" 304 -
10.52.0.13 - deppi [26/Sep/2017:07:54:25 -0300] "GET /dashbuilder/images/Barra_Menu.png HTTP/1.1" 200 1072
10.52.0.13 - deppi [26/Sep/2017:07:54:25 -0300] "GET /dashbuilder/images/deppi.png HTTP/1.1" 200 1381
10.52.0.13 - deppi [26/Sep/2017:07:54:25 -0300] "GET /dashbuilder/images/logo_if.png HTTP/1.1" 200 34937
10.52.0.13 - deppi [26/Sep/2017:07:54:25 -0300] "GET /dashbuilder/section/images/menup_left.png HTTP/1.1" 304 -
10.52.0.13 - deppi [26/Sep/2017:07:54:25 -0300] "GET /dashbuilder/section/images/menup_right.png HTTP/1.1" 304 -
10.52.0.13 - deppi [26/Sep/2017:07:54:25 -0300] "GET /dashbuilder/images/Barra_Filtros.png HTTP/1.1" 304 -
10.52.0.13 - - [26/Sep/2017:07:54:36 -0300] "GET /dashbuilder/Controller?_fb=logout&_fp=0&csrf=53043492 HTTP/1.1" 302 -
10.52.0.13 - - [26/Sep/2017:07:54:36 -0300] "GET /dashbuilder/ HTTP/1.1" 200 6265
175.198.87.126 - - [26/Sep/2017:08:08:33 -0300] "GET / HTTP/1.0" 200 11398
10.50.14.203 - - [26/Sep/2017:08:11:06 -0300] "GET /dashbuilder/ HTTP/1.1" 200 6265
10.50.14.203 - - [26/Sep/2017:08:11:08 -0300] "GET /dashbuilder/ HTTP/1.1" 200 6265
10.50.14.203 - - [26/Sep/2017:08:11:09 -0300] "GET /dashbuilder/ HTTP/1.1" 200 6265
66.249.85.23 - - [26/Sep/2017:08:11:18 -0300] "GET /dashbuilder/workspace/pt/central/ajuda?csrf=89010711 HTTP/1.1" 200 6265
66.249.85.21 - - [26/Sep/2017:08:11:19 -0300] "GET /favicon.ico HTTP/1.1" 200 1150
66.249.85.22 - - [26/Sep/2017:08:11:24 -0300] "GET /dashbuilder/workspace/pt/central/ajuda?csrf=89010711 HTTP/1.1" 200 6265
66.249.85.23 - - [26/Sep/2017:08:11:24 -0300] "GET /favicon.ico HTTP/1.1" 200 1150
10.50.14.203 - - [26/Sep/2017:08:30:46 -0300] "POST /dashbuilder/j_security_check HTTP/1.1" 302 -
10.50.14.203 - usuario [26/Sep/2017:08:30:46 -0300] "GET /dashbuilder/components/bam/displayer/chart/nvd3/lib/d3.v2.min.js HTTP/1.1" 304 -
10.50.14.203 - usuario [26/Sep/2017:08:30:46 -0300] "GET /dashbuilder/components/bam/displayer/chart/nvd3/nv.d3.min.js HTTP/1.1" 304 -
10.50.14.203 - usuario [26/Sep/2017:08:30:46 -0300] "GET /dashbuilder/components/bam/displayer/chart/nvd3/src/tooltip.js HTTP/1.1" 304 -
10.50.14.203 - usuario [26/Sep/2017:08:30:46 -0300] "GET /dashbuilder/components/bam/displayer/chart/nvd3/src/utils.js HTTP/1.1" 304 -
10.50.14.203 - usuario [26/Sep/2017:08:30:46 -0300] "GET /dashbuilder/components/bam/displayer/chart/nvd3/src/models/axis.js HTTP/1.1" 304 -
10.50.14.203 - usuario [26/Sep/2017:08:30:46 -0300] "GET /dashbuilder/components/bam/displayer/chart/nvd3/src/models/scatter.js HTTP/1.1" 304 -
10.50.14.203 - usuario [26/Sep/2017:08:30:46 -0300] "GET /dashbuilder/components/bam/displayer/chart/nvd3/src/models/legend.js HTTP/1.1" 304 -
10.50.14.203 - usuario [26/Sep/2017:08:30:46 -0300] "GET /dashbuilder/components/bam/displayer/chart/nvd3/src/models/discreteBar.js HTTP/1.1" 304 -
10.50.14.203 - usuario [26/Sep/2017:08:30:46 -0300] "GET /dashbuilder/components/bam/displayer/chart/nvd3/src/models/pie.js HTTP/1.1" 304 -
10.50.14.203 - usuario [26/Sep/2017:08:30:46 -0300] "GET /dashbuilder/components/bam/displayer/chart/nvd3/src/models/lineChart.js HTTP/1.1" 304 -
10.50.14.203 - usuario [26/Sep/2017:08:30:46 -0300] "GET /dashbuilder/components/bam/displayer/chart/nvd3/src/models/pieChart.js HTTP/1.1" 304 -
10.50.14.203 - usuario [26/Sep/2017:08:30:46 -0300] "GET /dashbuilder/js/lib/scriptaculous-js-1.9.0/prototype.js HTTP/1.1" 304 -
10.50.14.203 - usuario [26/Sep/2017:08:30:46 -0300] "GET /dashbuilder/js/lib/scriptaculous-js-1.9.0/scriptaculous.js HTTP/1.1" 304 -
10.50.14.203 - usuario [26/Sep/2017:08:30:46 -0300] "GET /dashbuilder/js/lib/scriptaculous-js-1.9.0/effects.js HTTP/1.1" 304 -
10.50.14.203 - usuario [26/Sep/2017:08:30:46 -0300] "GET /dashbuilder/js/lib/scriptaculous-js-1.9.0/dragdrop.js HTTP/1.1" 304 -
10.50.14.203 - usuario [26/Sep/2017:08:30:46 -0300] "GET /dashbuilder/common/rs/popup.js HTTP/1.1" 304 -
10.50.14.203 - usuario [26/Sep/2017:08:30:46 -0300] "GET /dashbuilder/components/bam/displayer/chart/nvd3/src/models/discreteBarChart.js HTTP/1.1" 304 -
10.50.14.203 - usuario [26/Sep/2017:08:30:46 -0300] "GET /dashbuilder/ckeditor/ckeditor.js HTTP/1.1" 304 -
