10.50.22.13 - usuario [07/Nov/2017:09:03:22 -0300] "GET /estagios/workspace/pt/central/images/deppi.png HTTP/1.1" 302 -
10.50.22.13 - usuario [07/Nov/2017:09:03:22 -0300] "GET /estagios/images/deppi.png HTTP/1.1" 304 -
10.50.22.13 - usuario [07/Nov/2017:09:03:22 -0300] "GET /estagios/workspace/pt/central/images/logo_if.png HTTP/1.1" 302 -
10.50.22.13 - usuario [07/Nov/2017:09:03:22 -0300] "GET /estagios/workspace/pt/central/images/Barra_Menu.png HTTP/1.1" 302 -
10.50.22.13 - usuario [07/Nov/2017:09:03:22 -0300] "GET /estagios/images/logo_if.png HTTP/1.1" 304 -
10.50.22.13 - usuario [07/Nov/2017:09:03:22 -0300] "GET /estagios/images/Barra_Menu.png HTTP/1.1" 304 -
10.50.22.13 - usuario [07/Nov/2017:09:03:33 -0300] "GET /estagios/workspace/pt/central/inicio?csrf=40550381 HTTP/1.1" 200 111248
10.50.22.13 - usuario [07/Nov/2017:09:03:33 -0300] "GET /estagios/envelopes/Envelope_IFCE/styles.css HTTP/1.1" 304 -
10.50.22.13 - usuario [07/Nov/2017:09:03:33 -0300] "GET /estagios/components/bam/displayer/chart/nv.d3.css HTTP/1.1" 304 -
10.50.22.13 - usuario [07/Nov/2017:09:03:33 -0300] "GET /estagios/skins/Default_Skin/styles/default.css HTTP/1.1" 304 -
